id,time
445,44
3,4
254,6
180,4
3,14
119,12
639,10
119,4
358,12
240,8
445,6
441,2
119,6
639,2
176,4
441,2
470,1
38,12
325,2
639,14
358,1
470,4
441,4
590,2
119,16
427,12
441,10
214,10
227,12
401,2
3,8
590,2
470,2
180,6
325,6
590,2
401,1
38,42
283,6
639,2
358,4
441,14
427,2
437,2
208,6
542,2
470,2
325,8
283,4
227,2
542,2
569,10
437,4
180,12
227,4
214,2
358,6
357,6
301,6
325,12
119,4
445,4
208,2
165,12
283,4
441,10
159,20
542,6
227,10
3,12
176,8
445,2
401,2
569,2
549,12
358,4
542,16
283,14
325,1
208,4
357,6
312,6
180,50
590,4
265,8
470,22
227,4
214,2
208,6
141,2
301,12
325,26
357,18
445,28
126,14
165,34
254,10
569,2
542,16
312,6
129,10
313,2
506,22
227,14
358,44
401,10
159,24
313,12
427,8
141,4
339,1
357,1
339,2
357,4
569,1
301,2
214,8
208,3
542,13
227,1
301,1
306,4
339,2
82,2
441,6
227,10
3,8
254,1
339,4
401,2
301,2
427,18
549,18
355,12
367,12
265,8
119,6
613,6
313,4
78,10
445,8
569,2
3,8
254,10
325,1
542,2
208,6
141,8
569,6
176,6
441,4
401,22
82,2
165,2
155,8
302,8
367,2
542,6
265,2
283,2
325,2
180,6
208,2
355,12
136,10
126,6
201,6
171,14
301,2
437,20
214,2
3,3
590,4
301,1
3,2
119,4
100,14
367,4
141,8
36,8
301,4
427,22
283,4
214,2
56,6
180,4
227,4
208,22
69,8
78,1
265,2
38,16
176,1
78,10
126,2
154,4
569,4
312,2
283,10
214,8
134,2
62,8
36,4
265,4
639,4
311,4
266,14
56,17
229,2
272,18
134,3
74,4
367,24
569,12
312,3
441,8
254,30
428,10
341,4
229,12
265,16
36,1
136,50
23,10
253,12
227,12
68,14
470,2
165,6
549,2
267,4
427,8
180,2
613,4
313,8
401,6
519,4
214,12
78,2
36,8
325,2
180,4
442,8
186,2
56,18
62,2
165,14
201,6
253,18
569,6
176,6
160,1
154,20
62,2
160,2
74,16
150,10
208,34
129,6
335,16
401,8
36,2
519,2
180,2
227,10
5,1
126,2
229,12
176,14
214,7
141,50
134,14
78,6
5,6
357,36
165,2
358,14
150,1
283,7
82,6
159,4
62,36
165,4
367,6
36,2
227,12
302,4
186,4
5,6
253,46
38,1
3,6
36,1
283,1
74,8
38,2
56,2
36,1
176,4
229,3
134,2
23,4
82,6
214,4
5,2
150,20
38,12
165,2
180,2
100,2
201,6
367,2
56,2
176,14
312,6
310,4
358,2
74,10
78,1
23,2
229,6
283,1
214,2
82,1
254,3
69,12
163,16
378,4
5,6
367,18
56,6
3,2
358,12
129,4
283,4
214,34
44,6
23,2
292,6
3,6
78,20
191,8
201,4
267,16
250,4
272,6
38,6
193,4
186,16
5,2
180,6
227,3
129,2
108,1
341,2
171,1
335,1
201,1
312,1
358,1
5,10
165,6
283,12
227,14
254,18
129,1
341,1
136,2
23,1
126,2
23,2
272,2
180,2
182,2
163,32
357,8
367,8
56,16
278,22
36,6
176,14
325,8
3,12
74,2
272,4
351,1
106,12
201,6
292,1
91,14
74,3
134,8
126,2
38,18
